species_key,species_name,lme_id,lme_name
2398682,Abudefduf sordidus,14,Iberian Coastal
4309455,Acantharctus posteli,14,Iberian Coastal
5209173,Acanthurus monroviae,14,Iberian Coastal
2267504,Aequorea macrodactyla,14,Iberian Coastal
5718569,Agetus flaccus,14,Iberian Coastal
5718570,Agetus typicus,14,Iberian Coastal
2656914,Aglaothamnion feldmanniae,14,Iberian Coastal
8187634,Akashiwo sanguinea,14,Iberian Coastal
7646080,Alexandrium affine,14,Iberian Coastal
7910173,Alexandrium ostenfeldii,14,Iberian Coastal
7632200,Alexandrium tamarense,14,Iberian Coastal
2315382,Alitta succinea,14,Iberian Coastal
2315395,Alitta virens,14,Iberian Coastal
4309906,Alpheus dentipes,14,Iberian Coastal
8416593,Alpheus lobidens,14,Iberian Coastal
7552441,Amathia gracilis,14,Iberian Coastal
7446481,Amathia verticillata,14,Iberian Coastal
2219490,Ampelisca heterodactyla,14,Iberian Coastal
5862470,Amphibalanus eburneus,14,Iberian Coastal
6128436,Amphibalanus reticulatus,14,Iberian Coastal
4805565,Amphibalanus variegatus,14,Iberian Coastal
2328853,Amphiglena mediterranea,14,Iberian Coastal
6529629,Anadara kagoshimensis,14,Iberian Coastal
5166357,Anomalocera patersonii,14,Iberian Coastal
5188926,Anomia ephippium,14,Iberian Coastal
2656854,Anotrichium furcellatum,14,Iberian Coastal
4360191,Antiopella cristata,14,Iberian Coastal
2657657,Antithamnionella boergesenii,14,Iberian Coastal
2657641,Antithamnionella ternifolia,14,Iberian Coastal
6460808,Aoroides longimerus,14,Iberian Coastal
2323931,Aphelochaeta marioni,14,Iberian Coastal
2330832,Aplidium proliferum,14,Iberian Coastal
8876519,Aplus assimilis,14,Iberian Coastal
9025372,Aplus dorbignyi,14,Iberian Coastal
4361146,Aporrhais pespelecani,14,Iberian Coastal
7774029,Archaeperidinium minutum,14,Iberian Coastal
6531311,Arcuatula senhousia,14,Iberian Coastal
4360202,Armina maculata,14,Iberian Coastal
5200467,Ascidiella aspersa,14,Iberian Coastal
3196524,Ascophyllum nodosum,14,Iberian Coastal
5279840,Asparagopsis armata,14,Iberian Coastal
5279834,Asparagopsis taxiformis,14,Iberian Coastal
5187508,Asterias amurensis,14,Iberian Coastal
7765831,Asterias rubens,14,Iberian Coastal
2115769,Austrominius modestus,14,Iberian Coastal
8205774,Baccharis spicata,14,Iberian Coastal
3192919,Bacteriastrum hyalinum,14,Iberian Coastal
2115719,Balanus balanus,14,Iberian Coastal
2115706,Balanus glandula,14,Iberian Coastal
2115724,Balanus trigonus,14,Iberian Coastal
5233152,Beroe ovata,14,Iberian Coastal
2329515,Bispira fabricii,14,Iberian Coastal
5725688,Bivetiella cancellata,14,Iberian Coastal
2320810,Boccardia proboscidea,14,Iberian Coastal
2320998,Boccardiella hamata,14,Iberian Coastal
4366020,Bolinus brandaris,14,Iberian Coastal
2668884,Bonnemaisonia hamifera,14,Iberian Coastal
4354937,Botrylloides diegensis,14,Iberian Coastal
4354950,Botrylloides leachii,14,Iberian Coastal
2332084,Botrylloides niger,14,Iberian Coastal
2266586,Bougainvillia muscus,14,Iberian Coastal
2225797,Brachynotus sexdentatus,14,Iberian Coastal
9817665,Branchiomma bombyx,14,Iberian Coastal
5200315,Branchiomma luctuosum,14,Iberian Coastal
2309685,Branchiosyllis exilis,14,Iberian Coastal
2225643,Callinectes exasperatus,14,Iberian Coastal
2225646,Callinectes sapidus,14,Iberian Coastal
2293333,Calliostoma zizyphinum,14,Iberian Coastal
4360210,Calma gobioophaga,14,Iberian Coastal
2114236,Calocalanus tenuis,14,Iberian Coastal
2301629,Calyptraea chinensis,14,Iberian Coastal
2222075,Cancer irroratus,14,Iberian Coastal
5178057,Caprella mutica,14,Iberian Coastal
5178082,Caprella scaura,14,Iberian Coastal
5178595,Carcinus maenas,14,Iberian Coastal
2666539,Caulacanthus okamurae,14,Iberian Coastal
2666536,Caulacanthus ustulatus,14,Iberian Coastal
2643011,Caulerpa prolifera,14,Iberian Coastal
5963673,Celtodoryx ciocalyptoides,14,Iberian Coastal
2383720,Centrolabrus exoletus,14,Iberian Coastal
2388910,Cephalopholis taeniops,14,Iberian Coastal
5277182,Ceramium tenuicorne,14,Iberian Coastal
5184341,Cereus pedunculatus,14,Iberian Coastal
4362895,Cerithium scabridum,14,Iberian Coastal
4275413,Chaetoceros lorenzianus,14,Iberian Coastal
9501293,Chaetoceros concavicornis,14,Iberian Coastal
3193042,Chaetoceros peruvianus,14,Iberian Coastal
3193040,Chaetoceros rostratus,14,Iberian Coastal
2306710,Chaetopleura angulata,14,Iberian Coastal
5270682,Chara connivens,14,Iberian Coastal
2336774,Chelidonichthys lucerna,14,Iberian Coastal
2400863,Chelon labrosus,14,Iberian Coastal
5279755,Chondria coerulescens,14,Iberian Coastal
3195749,Chorda filum,14,Iberian Coastal
1006372,Chorizopora brongniartii,14,Iberian Coastal
2115620,Chthamalus stellatus,14,Iberian Coastal
2329622,Ciona intestinalis,14,Iberian Coastal
2267186,Cirrholovenia tetranema,14,Iberian Coastal
5186036,Clytia gregaria,14,Iberian Coastal
5186058,Clytia linearis,14,Iberian Coastal
7348337,Cochlodinium polykrikoides,14,Iberian Coastal
5272096,Codium fragile,14,Iberian Coastal
3197970,Colpomenia peregrina,14,Iberian Coastal
8190231,Corbicula fluminea,14,Iberian Coastal
2266009,Cordylophora caspia,14,Iberian Coastal
2110709,Corycaeus clausi,14,Iberian Coastal
5185697,Coryne eximia,14,Iberian Coastal
2395367,Coryphoblennius galerita,14,Iberian Coastal
5421557,Coscinodiscus wailesii,14,Iberian Coastal
4408321,Craspedacusta sowerbii,14,Iberian Coastal
5362054,Crassula helmsii,14,Iberian Coastal
5192789,Crepidula fornicata,14,Iberian Coastal
4360387,Crepipatella dilatata,14,Iberian Coastal
4288621,Cribrilaria innominata,14,Iberian Coastal
2376212,Crystallogobius linearis,14,Iberian Coastal
2114911,Ctenocalanus vanus,14,Iberian Coastal
6537484,Cushmanina striatopunctata,14,Iberian Coastal
2216329,Cymadusa filosa,14,Iberian Coastal
5727801,Cymbium olla,14,Iberian Coastal
2399985,Cynoscion regalis,14,Iberian Coastal
4286975,Cyprinus carpio,14,Iberian Coastal
7682935,Dasysiphonia japonica,14,Iberian Coastal
2392664,Dentex gibbosus,14,Iberian Coastal
5200151,Desdemona ornata,14,Iberian Coastal
4283395,Diadumene lineata,14,Iberian Coastal
8018048,Dictyota cyanoloma,14,Iberian Coastal
5423480,Dictyota dichotoma,14,Iberian Coastal
7707408,Didemnum vexillum,14,Iberian Coastal
7957037,Dinophysis caudata,14,Iberian Coastal
8208307,Dinophysis odiosa,14,Iberian Coastal
7829478,Dinophysis recurva,14,Iberian Coastal
8175358,Dinophysis sacculus,14,Iberian Coastal
7708032,Dinophysis tripos,14,Iberian Coastal
5210979,Diplodus vulgaris,14,Iberian Coastal
2331256,Distaplia bermudensis,14,Iberian Coastal
2331276,Distaplia corolla,14,Iberian Coastal
2287072,Dreissena polymorpha,14,Iberian Coastal
